,Tempo,V input,V out (RC=1),"V out (RC=0,5)","V out (RC=0,1)"
47,4.7,1.0,50.89165016677072,101.78330033354143,508.91650166770717
48,4.800000000000001,1.0,56.3491428081702,112.6982856163404,563.491428081702
49,4.9,1.0,62.38060499504688,124.76120999009376,623.8060499504688
50,5.0,-1.0,69.04640363997513,138.09280727995025,690.4640363997512
51,5.1000000000000005,-1.0,76.20290688001445,152.4058137600289,762.0290688001445
52,5.2,-1.0,84.11206564230918,168.22413128461835,841.1206564230918
53,5.300000000000001,-1.0,92.85303850745467,185.70607701490934,928.5303850745468
54,5.4,-1.0,102.51330693297862,205.02661386595724,1025.1330693297862
55,5.5,-1.0,113.18955442014152,226.37910884028304,1131.8955442014153
56,5.6000000000000005,-1.0,124.98863300532471,249.97726601064943,1249.886330053247
57,5.7,-1.0,138.02863161991095,276.0572632398219,1380.2863161991095
58,5.800000000000001,-1.0,152.44005886239515,304.8801177247903,1524.4005886239515
59,5.9,-1.0,168.36714916907624,336.7342983381525,1683.6714916907624
60,6.0,1.0,185.96930729577775,371.9386145915555,1859.6930729577775
61,6.1000000000000005,1.0,205.63304159248653,411.26608318497307,2056.3304159248655
62,6.2,1.0,227.3648281258614,454.7296562517228,2273.648281258614
63,6.300000000000001,1.0,251.38216707909356,502.7643341581871,2513.8216707909355
64,6.4,1.0,277.9254316938089,555.8508633876178,2779.254316938089
65,6.5,1.0,307.26027868128057,614.5205573625611,3072.602786812806
66,6.6000000000000005,1.0,339.68029601956994,679.3605920391399,3396.8029601956996
67,6.7,1.0,375.5099537805438,751.0199075610876,3755.099537805438
68,6.800000000000001,1.0,415.1078508676194,830.2157017352388,4151.078508676193
69,6.9,1.0,458.8702967029107,917.7405934058214,4588.702967029107
70,7.0,-1.0,507.23527396198824,1014.4705479239765,5072.352739619882
71,7.1000000000000005,-1.0,560.4765032156803,1120.9530064313606,5604.765032156803
72,7.2,-1.0,619.3171619524634,1238.6343239049268,6193.171619524634
73,7.300000000000001,-1.0,684.3461458232995,1368.692291646599,6843.461458232995
74,7.4,-1.0,756.214288883471,1512.428577766942,7562.14288883471
75,7.5,-1.0,835.6408727480307,1671.2817454960614,8356.408727480306
76,7.6000000000000005,-1.0,923.420835607874,1846.841671215748,9234.20835607874
77,7.7,-1.0,1020.4326741212094,2040.8653482424188,10204.326741212095
78,7.800000000000001,-1.0,1127.6473398602695,2255.294679720539,11276.473398602695
79,7.9,-1.0,1246.1378789643404,2492.275757928681,12461.378789643404
80,8.0,1.0,1377.09018843093,2754.18037686186,13770.9018843093
81,8.1,1.0,1522.0251852578738,3044.0503705157475,15220.251852578738
82,8.200000000000001,1.0,1682.2031494153032,3364.4062988306064,16822.03149415303
83,8.3,1.0,1859.227184178191,3718.454368356382,18592.27184178191
84,8.4,1.0,2054.868973714644,4109.737947429288,20548.689737146444
85,8.5,1.0,2271.086606200558,4542.173212401116,22710.86606200558
